id,geom,NAME,category,lat,lng,geohash
593,0101000020E61000008D6E6EADF18252C00CA8774513E51240,Panamericana,Bookstore,4.723706327,-74.04600082,d2g6g5
594,0101000020E610000047D15C25AD8452C0BE47F5D593D81240,Carulla Niza,Food & Drink Shop,4.711501449,-74.07306799,d2g6f3
595,0101000020E61000000ECEF103BA8452C0511D735C3D911240,Panamericana,Paper / Office Supplies Store,4.641835637,-74.07385348,d2g66m
596,0101000020E6100000FA9E4A387F8352C0616783CD1A041340,Carulla,Food & Drink Shop,4.754008495,-74.05463989,d2g74c
597,0101000020E61000003A573F057F8452C006A6188B12A11240,Las Plazas De Mercado Siete De Agosto,Market,4.6572973,-74.07025272,d2g66r
598,0101000020E6100000134144742F8452C08018482080891240,Carulla,Food & Drink Shop,4.634277825,-74.06539637,d2g66e
599,0101000020E610000050177567868552C0F6FC02C594C71240,Titán Plaza,Shopping Mall,4.694903448,-74.08632838,d2g6dn
600,0101000020E6100000B92F27754B8752C00D0CAF3E41881240,Falabella,Department Store,4.633061389,-74.11398057,d2g637
601,0101000020E6100000595D26717A8552C05492F74090771240,La 14,Department Store,4.616761222,-74.08559827,d2g660
602,0101000020E6100000853CF2D2618252C0ADE3CEBB32C31240,Tiendas Jumbo Santa Ana,Grocery Store,4.690623221,-74.0372207,d2g6ej
603,0101000020E61000007FC9B252D98352C05B3EB304BAE71240,Carulla,Supermarket,4.726295541,-74.06013935,d2g6fs
604,0101000020E6100000B84519D5358452C08A654EFE2B011340,Farmatodo,Pharmacy,4.751144384,-74.06578567,d2g748
605,0101000020E610000054DEAEAFA48052C0DDB7C5660DA61240,Carulla,Supermarket,4.662160497,-74.01005165,d2g6eb
606,0101000020E610000009BD1DAF368352C05CA6F56B07CB1240,Home Sentry,Department Store,4.698270499,-74.05021265,d2g6dz
607,0101000020E61000003557683A188252C045F4F93DCEDE1240,Locatel,Drugstore,4.717583626,-74.03272877,d2g6g6
608,0101000020E6100000555605A9178252C086BA8A79ECEB1240,Homecenter y Constructor Cedritos,Furniture / Home Store,4.730394267,-74.03269411,d2g6gm
609,0101000020E61000001F28B7DCC08252C034DAD130ACCE1240,K Tronix Unicentro,Big Box Store,4.70182873,-74.04302137,d2g6ep
610,0101000020E6100000C9E5C4C8EC8352C0C964D9261AA31240,Panamericana,Bookstore,4.659279449,-74.06132716,d2g6d8
611,0101000020E61000005D22D58E398452C09122AB5AAD8C1240,Fundacion Oftalmologica Nacional (FUNDONAL),Optical Shop,4.637380044,-74.06601306,d2g66s
612,0101000020E6100000083E544BF08252C035B6C4A3FF0B1340,Librería Nacional- Santafé Mi Mundo - Bogotá,Bookstore,4.761717376,-74.0459164,d2g754
